                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.75954,                0.85699,                 1.0793,                0.40709,                0.42857,                0.29612,                0.15858,                 1.6629,                 2.4918,                 2.0339,              0.0005942,              0.0005942,              0.0005942
                     73,                0.80598,                0.87021,                 1.1047,                0.36661,                0.53751,                0.34453,                0.17404,                 1.7074,                 2.2452,                 2.1081,              0.0005744,              0.0005744,              0.0005744
                     74,                0.70176,                 0.7251,                 1.0279,                 0.3704,                    0.5,                0.36995,                0.20369,                 1.6628,                 2.1739,                 2.0665,              0.0005546,              0.0005546,              0.0005546
                     75,                0.71793,                0.76166,                 1.0617,                0.46576,                    0.5,                0.40084,                0.21502,                 1.5869,                 2.2083,                 1.9954,              0.0005348,              0.0005348,              0.0005348
                     76,                0.73161,                0.74222,                 1.0605,                0.43914,                    0.5,                 0.4208,                0.19658,                 1.6516,                 2.3144,                 2.0399,               0.000515,               0.000515,               0.000515
                     77,                0.68843,                0.73381,                 1.0645,                0.41915,                0.57143,                0.44517,                0.20745,                 1.6614,                 2.2732,                  2.067,              0.0004952,              0.0004952,              0.0004952
                     78,                0.67068,                0.75563,                 1.0278,                0.47651,                0.57143,                0.44664,                0.22676,                  1.611,                 2.1656,                 2.0678,              0.0004754,              0.0004754,              0.0004754
                     79,                0.66296,                0.68976,                 1.0097,                0.56228,                0.60714,                0.43137,                0.21817,                 1.5779,                 1.9929,                 2.0801,              0.0004556,              0.0004556,              0.0004556
                     80,                0.69708,                0.67052,                 1.0469,                0.59438,                0.53571,                0.40405,                0.21775,                 1.6141,                 1.8799,                 2.1388,              0.0004358,              0.0004358,              0.0004358
                     81,                0.68161,                0.70982,                  1.025,                0.58492,                0.50339,                0.45315,                0.22774,                 1.5923,                 1.9183,                  2.189,               0.000416,               0.000416,               0.000416
                     82,                0.72082,                0.78443,                 1.0839,                0.56259,                0.53571,                0.44523,                0.22632,                 1.6659,                 2.0043,                 2.2178,              0.0003962,              0.0003962,              0.0003962
                     83,                0.72566,                 0.7447,                 1.0713,                0.61688,                0.46022,                0.44478,                0.22657,                 1.6383,                 2.0238,                 2.2379,              0.0003764,              0.0003764,              0.0003764
                     84,                0.70034,                0.70018,                 1.0426,                0.66468,                0.42857,                0.44598,                0.22838,                 1.6073,                 1.9865,                 2.1915,              0.0003566,              0.0003566,              0.0003566
                     85,                0.65545,                0.63499,                 1.0113,                0.70475,                    0.5,                0.44405,                0.21623,                 1.5824,                 1.9403,                 2.1821,              0.0003368,              0.0003368,              0.0003368
                     86,                0.68765,                0.72393,                 1.0302,                0.58036,                0.46429,                0.40349,                0.19587,                 1.5869,                 2.0253,                 2.1561,               0.000317,               0.000317,               0.000317
                     87,                0.72644,                 0.6909,                 1.0521,                0.44322,                0.53571,                 0.3574,                0.17859,                 1.6095,                 2.1266,                 2.1336,              0.0002972,              0.0002972,              0.0002972
                     88,                0.68671,                0.72587,                  1.014,                0.40544,                    0.5,                0.32518,                0.16425,                 1.6685,                 2.2863,                 2.1147,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64443,                0.67856,                 1.0265,                0.36235,                0.53571,                0.31932,                0.15961,                 1.6532,                 2.4075,                 2.0304,              0.0002576,              0.0002576,              0.0002576
                     90,                0.67534,                0.67463,                 1.0087,                0.39762,                0.54234,                0.34687,                0.16216,                 1.6625,                 2.4645,                 1.9986,              0.0002378,              0.0002378,              0.0002378
                     91,                0.59999,                 0.7294,                 1.0298,                0.42358,                 0.5775,                0.34996,                0.14769,                 1.7055,                 2.4238,                 2.0354,               0.000218,               0.000218,               0.000218
                     92,                0.65196,                0.81612,                 1.0562,                0.47241,                0.46429,                0.34747,                0.16493,                 1.6836,                 2.3045,                 1.9939,              0.0001982,              0.0001982,              0.0001982
                     93,                0.61485,                0.77887,                 1.0478,                0.45752,                0.54234,                0.37202,                0.17104,                 1.6361,                 2.1882,                 1.9666,              0.0001784,              0.0001784,              0.0001784
                     94,                0.54929,                0.75004,                0.97875,                0.47858,                    0.5,                0.37138,                0.16981,                 1.6501,                 2.1621,                 1.9781,              0.0001586,              0.0001586,              0.0001586
                     95,                0.54292,                  0.653,                0.96761,                0.53053,                    0.5,                0.37888,                0.16378,                 1.6633,                 2.1366,                 2.0033,              0.0001388,              0.0001388,              0.0001388
                     96,                0.53286,                 0.6569,                0.97849,                 0.5432,                0.46429,                0.35762,                0.16342,                  1.678,                 2.1418,                 2.0204,               0.000119,               0.000119,               0.000119
                     97,                0.52463,                0.61367,                0.96185,                0.56336,                0.46094,                0.34942,                0.15754,                 1.6752,                 2.1258,                 2.0291,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.54735,                0.63632,                 1.0052,                0.49996,                    0.5,                0.34708,                0.16545,                 1.6545,                  2.131,                 2.0265,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.51835,                0.59482,                0.94518,                0.55173,                0.48389,                0.36318,                0.18668,                 1.6589,                 2.1145,                 2.0326,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.53587,                 0.6057,                0.92262,                0.54145,                    0.5,                0.36688,                0.19213,                 1.6589,                 2.1081,                 2.0343,               3.98e-05,               3.98e-05,               3.98e-05
